DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
ALICATE MANOS AS565 ACERO;7.86117E+12;LA ESPAﾑOLA;UND;3.29;MILAGRO
ALICATE PIE KY006 P/FINA;7.86117E+12;LA ESPAﾑOLA;UND;2.91;MILAGRO
AMORUS CONCEALER 01 FAIR MATTE;6.10895E+11;LA ESPAﾑOLA;UND;5.03;MILAGRO
AMORUS CONCEALER 02 LIGHT MATTE;6.10895E+11;LA ESPAﾑOLA;UND;5.03;MILAGRO
AMORUS CONCEALER 05 HONEY MATTE;6.10895E+11;LA ESPAﾑOLA;UND;5.03;MILAGRO
ANTIFAZ G.BEAUTY /LLANO 1205 C/GEL 4COL.;7.86117E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
ANTIFAZ G.BEAUTY /PANDA 1206 C/GEL 2COL.;7.86117E+12;LA ESPAﾑOLA;UND;2.57;MILAGRO
APLIQ. Uﾃ羨 SS5 CRYST.BLANCO KY226;7.86117E+12;LA ESPAﾑOLA;UND;0.51;MILAGRO
APLIQ.Uﾃ羨 SS4 CRYST.BLANCO KY225;7.86117E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
APLIQ.Uﾃ羨 SS6 CRYST.BLANCO KY227;7.86117E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
APLIQ.Uﾃ羨 SS8 CRYST.BLANCO KY228;7.86117E+12;LA ESPAﾑOLA;UND;0.6;MILAGRO
ANTENA DIRECTV PP 0.46 LH01-O-100;7.86117E+12;LA ESPAﾑOLA;UND;34.91;MILAGRO
AGUILA AERO INSECT LIMON 400ML;6.92655E+12;LA ESPAﾑOLA;UND;3.4;MILAGRO
AGUILA AERO INSECT NORMAL 400ML;6.92655E+12;LA ESPAﾑOLA;UND;3.4;MILAGRO
ACEITE SUPREMO  900 CC FUNDA X12U;7.86115E+12;LA ESPAﾑOLA;UND;1.56;MILAGRO
AGUA FOREST  600ML x15U;7.86213E+12;LA ESPAﾑOLA;UND;0.22;MILAGRO
3-CHANCHOS 15KL BLOQUE;7.861E+12;LA ESPAﾑOLA;BLQ;27.9;MILAGRO
3-CHANCHOS 1KL FUNDA;7.861E+12;LA ESPAﾑOLA;UND;2.1;MILAGRO
3-CHANCHOS 3KL BALDE;7.861E+12;LA ESPAﾑOLA;UND;7.1;MILAGRO
3-CHANCHOS 3KL BLOQUE;7.861E+12;LA ESPAﾑOLA;UND;6.35;MILAGRO
3-CHANCHOS 460GR X24U;7.861E+12;LA ESPAﾑOLA;UND;0.74;MILAGRO
3-CHANCHOS 50KL BLOQUE;7.861E+12;LA ESPAﾑOLA;BLQ;97.65;MILAGRO
3-CHANCHOS 560GR X24U;7.861E+12;LA ESPAﾑOLA;UND;0.88;MILAGRO
3-CHANCHOS 900GR TAZONA;7.861E+12;LA ESPAﾑOLA;UND;2.5;MILAGRO
3-CHANCHOS LB POPULAR  X20U;7.861E+12;LA ESPAﾑOLA;UND;0.94;MILAGRO
ACEITE TRIREFINADO 950CC FDA X12U;7.861E+12;LA ESPAﾑOLA;UND;1.53;MILAGRO
ACEITE TRIREFINADO BOT. 740ML X15U;7.861E+12;LA ESPAﾑOLA;UND;1.35;MILAGRO
ACEITE VIVI GIRASOL 500 ML    X24U;7.861E+12;LA ESPAﾑOLA;UND;1.4;MILAGRO
ACEITE OLITALIA 1.000 ML;8.00715E+12;LA ESPAﾑOLA;UND;19.7;MILAGRO
ACEITE OLITALIA 250ML.;8.00715E+12;LA ESPAﾑOLA;UND;5.99;MILAGRO
ACEITE OLITALIA 500ML;8.00715E+12;LA ESPAﾑOLA;UND;10.72;MILAGRO
AGUA NATIVA 625 CC  X12U;7.86211E+12;LA ESPAﾑOLA;UND;0.28;MILAGRO
ACEITE ROJO PREMIO ALMENDRA 300ML;7.75185E+12;LA ESPAﾑOLA;UND;2.26;MILAGRO
AMB. WIMPLUS CEREZA X48U;7.86101E+12;LA ESPAﾑOLA;NN;0.87;MILAGRO
AMB. WIMPLUS FRESA X48U;7.86101E+12;LA ESPAﾑOLA;NN;0.87;MILAGRO
AMB. WIMPLUS LAVANDA X48U;7.86101E+12;LA ESPAﾑOLA;NN;0.87;MILAGRO
AMB. WIMPLUS MANZANA X48U;7.86101E+12;LA ESPAﾑOLA;UND;0.87;MILAGRO
AMB. WIMPLUS MZNA/CANELA X48U;7.86101E+12;LA ESPAﾑOLA;NN;0.87;MILAGRO
ACEITE JHONSON 100ML;7.89101E+12;LA ESPAﾑOLA;UND;2.36;MILAGRO
ACEITE JHONSON 50ML;7.70203E+12;LA ESPAﾑOLA;UND;1.35;MILAGRO
AFEIT. BIC AQUA 48T X12U;70330729872;LA ESPAﾑOLA;UND;0.74;MILAGRO
AFEITABIC P24 X24U PLANCHAS;5182 MP;LA ESPAﾑOLA;M/P;4.1;MILAGRO
AFEITABIC P5/LL7 SENSITIVE  X96U;70330703469;LA ESPAﾑOLA;UND;2.25;MILAGRO
AFEITABIC X24U.+2U.FLEX / X25 PLANCHAS;5282MP;LA ESPAﾑOLA;M/P;4.1;MILAGRO
AGUA 1.200 ML CIELOx9U;7.86211E+12;LA ESPAﾑOLA;UND;0.42;MILAGRO
AGUA CIELO  400ML x24U;7.86211E+12;LA ESPAﾑOLA;UND;0.22;MILAGRO
AGUA CIELO  625ML x15U;7.75067E+12;LA ESPAﾑOLA;UND;0.28;MILAGRO
ALCOHOL 250 CC MIOSANA  X48U;7.86104E+12;LA ESPAﾑOLA;UND;0.9;MILAGRO
ALCOHOL SPRAY 120ML MIOSANA TE VERDE  X48U;7.86104E+12;LA ESPAﾑOLA;UND;1.03;MILAGRO
ALCOHOL SPRAY 240ML MIOSANA VAINILLA  X48U;7.86104E+12;LA ESPAﾑOLA;UND;1.9;MILAGRO
